iter	Logloss
0	0.6553382399
1	0.6168286921
2	0.577822833
3	0.5550313115
4	0.5219918218
5	0.4995991892
6	0.4773742391
7	0.4606055896
8	0.4421463579
9	0.4273358808
10	0.4086023254
11	0.3935775634
12	0.3795338779
13	0.3699543863
14	0.3616509589
15	0.3522738975
16	0.3439830296
17	0.3348565753
18	0.3273982712
19	0.3216648668
20	0.3158364766
21	0.3084647423
22	0.3014953346
23	0.2963493765
24	0.2899889491
25	0.282931614
26	0.2767990957
27	0.2716781942
28	0.2678223723
29	0.2646591056
30	0.2605524664
31	0.2557418847
32	0.2509328805
33	0.2473484537
34	0.243922757
35	0.2404394013
36	0.2367784807
37	0.2342568345
38	0.2311355536
39	0.2286325981
40	0.2255032939
41	0.2232432126
42	0.2220553057
43	0.2197242982
44	0.2159990403
45	0.2139426703
46	0.2118802214
47	0.2100633987
48	0.2076375392
49	0.2062863665
50	0.2047869972
51	0.2020065297
52	0.200429724
53	0.1976871022
54	0.1965301829
55	0.1949351158
56	0.1927889324
57	0.1909338513
58	0.1883361632
59	0.1864442146
60	0.1845636075
61	0.1823203529
62	0.1799547311
63	0.1791086804
64	0.1782401665
65	0.1765734294
66	0.1755292935
67	0.1747434737
68	0.1730187276
69	0.171227508
70	0.1699416641
71	0.1686944062
72	0.1670721505
73	0.1658830699
74	0.1649502626
75	0.1635681309
76	0.1620340313
77	0.1614300201
78	0.1601737662
79	0.1587018316
80	0.1580119344
81	0.1567495476
82	0.155776524
83	0.1545954892
84	0.1522669619
85	0.1504947472
86	0.1496255596
87	0.1486891269
88	0.147429347
89	0.1465993101
90	0.1456930807
91	0.1442312641
92	0.1435567682
93	0.1421545656
94	0.1409513177
95	0.1401516281
96	0.1390388858
97	0.1372924046
98	0.1366581662
99	0.136095733
100	0.1352229584
101	0.1338910783
102	0.1328334789
103	0.1323376032
104	0.1315778396
105	0.1304519243
106	0.1295421454
107	0.1291800942
108	0.1284381941
109	0.1274861506
110	0.1266711702
111	0.1258550571
112	0.1247912416
113	0.1237975988
114	0.1228226842
115	0.121916028
116	0.1208713671
117	0.1200450857
118	0.1193707939
119	0.1182967638
120	0.1170354324
121	0.1158519219
122	0.115253746
123	0.1137870418
124	0.1131842828
125	0.1128381963
126	0.1122677078
127	0.1112497919
128	0.1099656845
129	0.1094458198
130	0.1085875059
131	0.1079264637
132	0.1068730911
133	0.1060211561
134	0.1048448017
135	0.1041479963
136	0.1032538795
137	0.1024355288
138	0.1016985058
139	0.1008450422
140	0.1001744204
141	0.09886250741
142	0.09835510141
143	0.09779551476
144	0.09710503348
145	0.09642465637
146	0.09583089188
147	0.0953247588
148	0.09439958054
149	0.09372521265
150	0.09285701233
151	0.09258368053
152	0.09203517783
153	0.09125504047
154	0.09068912378
155	0.08993022108
156	0.08887653238
157	0.08826668281
158	0.08776590252
159	0.08721507162
160	0.08650709142
161	0.08573777286
162	0.08514005024
163	0.08475878811
164	0.08437261575
165	0.08359197262
166	0.08303149269
167	0.08242260498
168	0.08155881981
169	0.08104977255
170	0.08001869083
171	0.07951010217
172	0.07888801526
173	0.07861706575
174	0.07789164703
175	0.07717930358
176	0.07625778401
177	0.07574692251
178	0.0754557373
179	0.0747668913
180	0.07422275185
181	0.07376941119
182	0.07294092266
183	0.07228159244
184	0.07142471732
185	0.0709528187
186	0.07057744563
187	0.0699817414
188	0.06922951349
189	0.06874979392
190	0.06819387256
191	0.06769659274
192	0.0673594588
193	0.06706119024
194	0.06671406726
195	0.06657103593
196	0.06624201042
197	0.06588482574
198	0.06541534181
199	0.06495939301
